"x","y"
524,"0.7952024"
525,"0.7105354"
526,"0.7323374"
527,"0.7925398"
528,"0.8525465"
529,"0.8437009"
530,"0.972896"
531,"1.13515"
532,"1.076973"
533,"0.9647718"
534,"0.8993512"
535,"0.6855978"
536,"0.7098448"
537,"0.7253865"
538,"0.7084"
539,"0.7353197"
540,"0.7768683"
541,"0.7644187"
542,"0.8693136"
543,"1.007215"
544,"1.053885"
545,"0.9598383"
546,"0.8214722"
547,"0.7530807"
548,"0.7839261"
549,"0.8041081"
550,"0.8083196"
551,"0.8675643"
552,"0.9366164"
553,"0.9360174"
554,"0.9732005"
555,"1.187999"
556,"1.022399"
557,"1.185599"
558,"1.540799"
559,"0.6647995"
560,"0.7631994"
561,"0.7991994"
562,"0.9906667"
563,"0.9906667"
564,"0.9906667"
565,"0.9906667"
566,"0.9906667"
567,"0.9906667"
568,"0.9906667"
569,"0.9906667"
570,"0.9906667"
571,"0.9906667"
572,"0.9906667"
573,"0.9906667"
574,"0.8626667"
575,"0.8626667"
576,"0.8626667"
577,"0.8626667"
578,"0.8626667"
579,"0.8626667"
580,"0.8626667"
581,"0.8626667"
582,"0.8626667"
583,"0.8626667"
584,"0.8626667"
585,"0.8626667"
586,"0.7333334"
587,"0.7333334"
588,"0.7333334"
589,"0.7333334"
590,"0.7333334"
591,"0.7333334"
592,"0.7333334"
593,"0.7333334"
594,"0.7333334"
595,"0.7333334"
596,"0.7333334"
597,"0.7333334"
598,"0.7986667"
599,"0.7986667"
600,"0.7986667"
601,"0.7986667"
602,"0.7986667"
603,"0.7986667"
604,"0.7986667"
605,"0.7986667"
606,"0.7986667"
607,"0.7986667"
608,"0.7986667"
609,"0.7986667"
610,"0.7653333"
611,"0.7653333"
612,"0.7653333"
613,"0.7653333"
614,"0.7653333"
615,"0.7653333"
616,"0.7653333"
617,"1.205401"
618,"1.205401"
619,"1.205401"
620,"1.205401"
621,"1.205401"
622,"1.142401"
623,"1.142401"
624,"1.142401"
625,"1.142401"
626,"1.142401"
627,"1.142401"
628,"1.142401"
629,"1.142401"
630,"1.142401"
631,"1.142401"
632,"1.142401"
633,"1.142401"
634,"1.039501"
635,"1.039501"
636,"1.039501"
637,"1.039501"
638,"1.039501"
639,"1.039501"
640,"1.039501"
641,"1.039501"
642,"1.039501"
643,"1.039501"
644,"1.039501"
645,"1.039501"
646,"1.083601"
647,"1.083601"
648,"1.083601"
649,"1.083601"
650,"1.083601"
651,"1.083601"
652,"1.083601"
653,"1.083601"
654,"1.083601"
655,"1.083601"
656,"1.083601"
657,"1.083601"
658,"1.104601"
659,"1.104601"
660,"1.104601"
661,"1.104601"
662,"1.104601"
663,"1.104601"
664,"1.104601"
665,"1.104601"
666,"1.104601"
667,"1.104601"
668,"1.104601"
669,"1.104601"
670,"0.978601"
671,"0.978601"
672,"0.978601"
673,"0.978601"
674,"0.978601"
675,"0.978601"
676,"0.978601"
677,"0.978601"
678,"0.978601"
679,"0.978601"
680,"0.978601"
681,"0.978601"
682,"1.121401"
683,"1.121401"
684,"1.121401"
685,"1.121401"
686,"1.121401"
687,"1.121401"
688,"1.121401"
689,"1.121401"
690,"1.121401"
691,"1.121401"
692,"1.121401"
693,"1.121401"
